REF_DATE,NOC Major Group,National Occupational Classification (NOC),Economic region code,Economic region name,Number Employed (thousands)
2006,82,"Supervisors and technical occupations in natural resources, agriculture and related production",3540,Kitchener-Waterloo-Barrie,3.5
2006,84,"Workers in natural resources, agriculture and related production",3540,Kitchener-Waterloo-Barrie,3.5
2006,86,"Harvesting, landscaping and natural resources labourers",3540,Kitchener-Waterloo-Barrie,2.8
2006,09,Occupations in manufacturing and utilities,3540,Kitchener-Waterloo-Barrie,70.9
2006,92,"Processing, manufacturing and utilities supervisors and central control operators",3540,Kitchener-Waterloo-Barrie,9.4
2006,94,Processing and manufacturing machine operators and related production workers,3540,Kitchener-Waterloo-Barrie,30.5
2006,95,Assemblers in manufacturing,3540,Kitchener-Waterloo-Barrie,19.1
2006,96,"Labourers in processing, manufacturing and utilities",3540,Kitchener-Waterloo-Barrie,11.9
2006,,"Total employed, all occupations",3550,Hamilton-Niagara Peninsula,678.7
2006,00,Management occupations,3550,Hamilton-Niagara Peninsula,67.5
2006,00,Senior management occupations,3550,Hamilton-Niagara Peninsula,3.0
2006,06,Middle management occupations in retail and wholesale trade and customer services,3550,Hamilton-Niagara Peninsula,29.9
2006,01,"Business, finance and administration occupations",3550,Hamilton-Niagara Peninsula,96.6
2006,11,Professional occupations in business and finance,3550,Hamilton-Niagara Peninsula,16.2
2006,12,Administrative and financial supervisors and administrative occupations,3550,Hamilton-Niagara Peninsula,25.6
2006,13,"Finance, insurance and related business administrative occupations",3550,Hamilton-Niagara Peninsula,8.3
2006,14,Office support occupations,3550,Hamilton-Niagara Peninsula,33.6
2006,15,"Distribution, tracking and scheduling co-ordination occupations",3550,Hamilton-Niagara Peninsula,12.9
2006,02,Natural and applied sciences and related occupations,3550,Hamilton-Niagara Peninsula,37.8
2006,21,Professional occupations in natural and applied sciences,3550,Hamilton-Niagara Peninsula,17.6
2006,22,Technical occupations related to natural and applied sciences,3550,Hamilton-Niagara Peninsula,20.2
2006,03,Health occupations,3550,Hamilton-Niagara Peninsula,40.2
2006,30,Professional occupations in nursing,3550,Hamilton-Niagara Peninsula,9.9
2006,31,Professional occupations in health (except nursing),3550,Hamilton-Niagara Peninsula,7.8
2006,32,Technical occupations in health,3550,Hamilton-Niagara Peninsula,10.4
2006,34,Assisting occupations in support of health services,3550,Hamilton-Niagara Peninsula,12.1
2006,04,"Occupations in education, law and social, community and government services",3550,Hamilton-Niagara Peninsula,68.7
2006,40,Professional occupations in education services,3550,Hamilton-Niagara Peninsula,29.7
2006,41,"Professional occupations in law and social, community and government services",3550,Hamilton-Niagara Peninsula,12.1
2006,42,"Paraprofessional occupations in legal, social, community and education services",3550,Hamilton-Niagara Peninsula,12.3
2006,43,Occupations in front-line public protection services,3550,Hamilton-Niagara Peninsula,6.2
2006,44,"Care providers and educational, legal and public protection support occupations",3550,Hamilton-Niagara Peninsula,8.4
2006,05,"Occupations in art, culture, recreation and sport",3550,Hamilton-Niagara Peninsula,16.3
2006,51,Professional occupations in art and culture,3550,Hamilton-Niagara Peninsula,6.2
2006,52,"Technical occupations in art, culture, recreation and sport",3550,Hamilton-Niagara Peninsula,10.0
2006,06,Sales and service occupations,3550,Hamilton-Niagara Peninsula,175.2
2006,62,Retail sales supervisors and specialized sales occupations,3550,Hamilton-Niagara Peninsula,22.5
2006,63,Service supervisors and specialized service occupations,3550,Hamilton-Niagara Peninsula,22.0
2006,64,Sales representatives and salespersons - wholesale and retail trade,3550,Hamilton-Niagara Peninsula,36.1
2006,65,Service representatives and other customer and personal services occupations,3550,Hamilton-Niagara Peninsula,34.9
2006,66,Sales support occupations,3550,Hamilton-Niagara Peninsula,25.6
2006,67,"Service support and other service occupations, n.e.c.",3550,Hamilton-Niagara Peninsula,34.1
2006,07,"Trades, transport and equipment operators and related occupations",3550,Hamilton-Niagara Peninsula,108.5
2006,72,"Industrial, electrical and construction trades",3550,Hamilton-Niagara Peninsula,40.9
2006,73,Maintenance and equipment operation trades,3550,Hamilton-Niagara Peninsula,25.9
2006,74,"Other installers, repairers and servicers and material handlers",3550,Hamilton-Niagara Peninsula,9.8
2006,75,Transport and heavy equipment operation and related maintenance occupations,3550,Hamilton-Niagara Peninsula,25.9
2006,76,"Trades helpers, construction labourers and related occupations",3550,Hamilton-Niagara Peninsula,6.0
2006,08,"Natural resources, agriculture and related production occupations",3550,Hamilton-Niagara Peninsula,17.3
2006,82,"Supervisors and technical occupations in natural resources, agriculture and related production",3550,Hamilton-Niagara Peninsula,3.7
2006,84,"Workers in natural resources, agriculture and related production",3550,Hamilton-Niagara Peninsula,8.6
2006,86,"Harvesting, landscaping and natural resources labourers",3550,Hamilton-Niagara Peninsula,4.9
2006,09,Occupations in manufacturing and utilities,3550,Hamilton-Niagara Peninsula,50.6
2006,92,"Processing, manufacturing and utilities supervisors and central control operators",3550,Hamilton-Niagara Peninsula,11.5
2006,94,Processing and manufacturing machine operators and related production workers,3550,Hamilton-Niagara Peninsula,18.5
2006,95,Assemblers in manufacturing,3550,Hamilton-Niagara Peninsula,10.0
2006,96,"Labourers in processing, manufacturing and utilities",3550,Hamilton-Niagara Peninsula,10.6
2006,,"Total employed, all occupations",3560,London,333.5
2006,00,Management occupations,3560,London,32.4
2006,00,Senior management occupations,3560,London,1.9
2006,06,Middle management occupations in retail and wholesale trade and customer services,3560,London,10.5
2006,01,"Business, finance and administration occupations",3560,London,49.2
2006,11,Professional occupations in business and finance,3560,London,7.8
2006,12,Administrative and financial supervisors and administrative occupations,3560,London,12.8
2006,13,"Finance, insurance and related business administrative occupations",3560,London,3.7
2006,14,Office support occupations,3560,London,17.4
2006,15,"Distribution, tracking and scheduling co-ordination occupations",3560,London,7.4
2006,02,Natural and applied sciences and related occupations,3560,London,18.4
2006,21,Professional occupations in natural and applied sciences,3560,London,9.5
2006,22,Technical occupations related to natural and applied sciences,3560,London,8.8
2006,03,Health occupations,3560,London,21.5
2006,30,Professional occupations in nursing,3560,London,5.8
2006,31,Professional occupations in health (except nursing),3560,London,5.0
2006,32,Technical occupations in health,3560,London,6.1
2006,34,Assisting occupations in support of health services,3560,London,4.6
2006,04,"Occupations in education, law and social, community and government services",3560,London,34.2
2006,40,Professional occupations in education services,3560,London,16.9
2006,41,"Professional occupations in law and social, community and government services",3560,London,5.9
2006,42,"Paraprofessional occupations in legal, social, community and education services",3560,London,5.5
2006,43,Occupations in front-line public protection services,3560,London,2.2
2006,44,"Care providers and educational, legal and public protection support occupations",3560,London,3.7
2006,05,"Occupations in art, culture, recreation and sport",3560,London,6.8
2006,51,Professional occupations in art and culture,3560,London,1.8
2006,52,"Technical occupations in art, culture, recreation and sport",3560,London,5.0
2006,06,Sales and service occupations,3560,London,81.0
2006,62,Retail sales supervisors and specialized sales occupations,3560,London,9.1
2006,63,Service supervisors and specialized service occupations,3560,London,11.3
2006,64,Sales representatives and salespersons - wholesale and retail trade,3560,London,15.9
2006,65,Service representatives and other customer and personal services occupations,3560,London,14.4
2006,66,Sales support occupations,3560,London,11.7
2006,67,"Service support and other service occupations, n.e.c.",3560,London,18.7
2006,07,"Trades, transport and equipment operators and related occupations",3560,London,50.0
2006,72,"Industrial, electrical and construction trades",3560,London,17.5
2006,73,Maintenance and equipment operation trades,3560,London,10.9
2006,74,"Other installers, repairers and servicers and material handlers",3560,London,6.9
2006,75,Transport and heavy equipment operation and related maintenance occupations,3560,London,12.4
2006,76,"Trades helpers, construction labourers and related occupations",3560,London,2.3
2006,08,"Natural resources, agriculture and related production occupations",3560,London,7.2
2006,82,"Supervisors and technical occupations in natural resources, agriculture and related production",3560,London,
2006,84,"Workers in natural resources, agriculture and related production",3560,London,4.3
2006,86,"Harvesting, landscaping and natural resources labourers",3560,London,1.7
2006,09,Occupations in manufacturing and utilities,3560,London,32.9
2006,92,"Processing, manufacturing and utilities supervisors and central control operators",3560,London,3.1
2006,94,Processing and manufacturing machine operators and related production workers,3560,London,15.4
2006,95,Assemblers in manufacturing,3560,London,10.4
2006,96,"Labourers in processing, manufacturing and utilities",3560,London,3.9
2006,,"Total employed, all occupations",3570,Windsor-Sarnia,323.8
2006,00,Management occupations,3570,Windsor-Sarnia,30.0
2006,00,Senior management occupations,3570,Windsor-Sarnia,1.8
2006,06,Middle management occupations in retail and wholesale trade and customer services,3570,Windsor-Sarnia,12.4
2006,01,"Business, finance and administration occupations",3570,Windsor-Sarnia,39.9
2006,11,Professional occupations in business and finance,3570,Windsor-Sarnia,6.4
2006,12,Administrative and financial supervisors and administrative occupations,3570,Windsor-Sarnia,12.2
2006,13,"Finance, insurance and related business administrative occupations",3570,Windsor-Sarnia,3.1
2006,14,Office support occupations,3570,Windsor-Sarnia,11.8
2006,15,"Distribution, tracking and scheduling co-ordination occupations",3570,Windsor-Sarnia,6.4
2006,02,Natural and applied sciences and related occupations,3570,Windsor-Sarnia,18.2
2006,21,Professional occupations in natural and applied sciences,3570,Windsor-Sarnia,10.7
2006,22,Technical occupations related to natural and applied sciences,3570,Windsor-Sarnia,7.5
2006,03,Health occupations,3570,Windsor-Sarnia,22.7
2006,30,Professional occupations in nursing,3570,Windsor-Sarnia,6.1
2006,31,Professional occupations in health (except nursing),3570,Windsor-Sarnia,4.6
2006,32,Technical occupations in health,3570,Windsor-Sarnia,5.8
2006,34,Assisting occupations in support of health services,3570,Windsor-Sarnia,6.2
2006,04,"Occupations in education, law and social, community and government services",3570,Windsor-Sarnia,26.3
2006,40,Professional occupations in education services,3570,Windsor-Sarnia,10.9
