name,Snippet,description,longitude,latitude,altitude
Chatham (Public General Hospital) Heliport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-82.1933333333333,42.4036111111111,0
Cobden/Bruce McPhail Memorial Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-76.8333333333333,45.595,0
Cobourg (Northumberland Hills Hospital) Heliport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-78.2,43.9772222222222,0
Cochrane Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-81.0136111111111,49.1055555555556,0
Cochrane Water Aerodrome,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-81.0333333333333,49.1097222222222,0
Collingwood Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-80.1583333333333,44.4491666666667,0
Collingwood/Alta Heliport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-80.3541666666667,44.5294444444444,0
Collingwood (General and Marine Hospital) Heliport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-80.2033333333333,44.4997222222222,0
Collingwood (Wilsons) Heliport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-80.2294444444444,44.5097222222222,0
Combermere/Bonnie Brae Airfield,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-77.7230555555556,45.3741666666667,0
Combermere/Kamaniskeg Lake Water Aerodrome,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-77.65,45.3833333333333,0
Confederation Lake Water Aerodrome,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-92.8333333333333,51.05,0
Conn Aerodrome,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-80.4855555555555,44.0325,0
Constance Lake Water Aerodrome,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-75.9755555555556,45.4027777777778,0
Cookstown Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-79.6388888888889,44.2388888888889,0
Cookstown/Kirby Field Aerodrome,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-79.725,44.1327777777778,0
Cookstown/Tally-Ho Field Aerodrome,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-79.7766666666667,44.2144444444444,0
Cornwall (Community Hospital McConnell Site) Heliport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-74.7177777777778,45.0311111111111,0
Cornwall (NAV Centre) Heliport),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-74.6797222222222,45.0275,0
Cornwall Regional Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-74.5677777777778,45.0927777777778,0
Cottam Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-82.6527777777778,42.14,0
Creemore Aerodrome,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-80.1341666666667,44.3466666666667,0
Curries (Rand Private Airfield) Aerodrome,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-80.7002777777778,43.0663888888889,0
Deep River/Rolph Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-77.5333333333333,46.1166666666667,0
Deer Lake Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-94.0613888888889,52.6558333333333,0
De Lesseps Lake Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-90.6836111111111,50.7175,0
Delhi Aerodrome,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-80.4061111111111,42.8847222222222,0
Dorset/Kawagama Lake (South) Water Aerodrome,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-78.7922222222222,45.2638888888889,0
