,AIRPORT_TYPE,NAME,AIRPORT_IDENT,LATITUDE,LONGITUDE
28,Airport,Centralia/James T. Field Memorial,CYCE,43.2856339,81.50452890000001
29,Airport,Grand Bend,CPL4,43.2902282,81.7161574
30,Heliport,Niagara Falls,CPQ3,43.1186709,79.07543270000001
31,Hospital Heliport,Bowmanville (Memorial Hospital),CPL7,43.9092999,78.67793449999999
32,Airport,Toronto/Oshawa Muni,CYOO,43.9224508,78.8956574
33,Hospital Heliport,Port Perry (Community Memorial Hospital),CPX6,44.105188899999995,78.9544476
34,Hospital Heliport,Ajax (Pickering General Hospital),CPE2,43.8368582,79.0171647
35,Airport,Greenbank,CNP8,44.1348326,79.0133687
36,Hospital Heliport,Uxbridge (Cottage Hospital),CNA5,44.102427,79.1288831
37,Airport,Toronto/Markham,CNU8,43.9359548,79.2618882
38,Hospital Heliport,Markham Stouffville,CPH7,43.8831229,79.2327007
39,Airport,Toronto/Buttonville Municipal,CYKZ,43.861155,79.36954159999999
40,Airport,Baldwin,CPB9,44.2693056,79.34145009999999
41,Airport,Holland Landing Airpark,CLA4,44.0887292,79.4947415
42,Heliport,Bolton,CNB2,43.8510234,79.6939824
43,Heliport,"Brampton (National ""D"")",CPC4,43.832346799999996,79.701753
44,Heliport,"Brampton (National ""P"")",CPM2,43.8123564,79.6998613
45,Airport,Toronto/Downsview,CYZD,43.7432763,79.4664825
46,Airport,Keene/Elmhirst`s Resort,CPS2,44.2518273,78.10618640000001
47,Airport,Stirling,CPJ5,44.2417401,77.55966009999999
48,Airport,Trenton,CYTR,44.118850099999996,77.5333515
49,Airport,Wyoming (Reeces Corners),CPM6,42.9753889,82.13649000000001
50,Heliport,Milton (Afi),CMH2,43.5322028,79.9022298
51,Airport,Edenvale,CNV8,44.4371871,79.96334240000002
52,Airport,Cookstown,CCT2,44.2374764,79.63962640000001
53,Airport,Barrie-Orillia (Lake Simcoe Regional),CYLS,44.487742100000006,79.5548204
54,Airport,Trenton/Mountain View,CPZ3,44.0694721,77.33991999999999
55,Airport,Belleville,CNU4,44.1925124,77.308826
56,Airport,Tyendinaga (Mohawk),CPU6,44.1839199,77.105698
57,Airport,Picton,CNT7,43.9881739,77.1346425
58,Airport,Kingston,CYGK,44.2256257,76.5984845
59,Hospital Heliport,Kingston (General Hospital),CPJ7,44.2222104,76.4934327
60,Airport,Gananoque,CNN8,44.400527600000004,76.24216990000001
61,Hospital Heliport,Toronto (St. Michael`s Hospital),CTM4,43.653622600000006,79.3778318
62,Heliport,Borden,CYBN,44.27159520000001,79.91238790000001
63,Airport,Bradford,CPM7,44.135641899999996,79.6286695
64,Airport,Plevna/Tomvale,CNA9,44.916287100000005,76.934731
65,Airport,Bancroft,CNW3,45.0735745,77.88118490000001
